교양교과목 편성 현황(2025학년도 1학기 기준),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2025학년도 교육과정(입학자),,,,,,
연번,대학명(부서명),편성신청학과(부서명),교과목코드,교과목명,편성학기,편성신청학과(부서명),학점구조,평가방법,원격강의,SW지정,이수구분,교육과정구분,교양영역구분,핵심역량,"2011~2016학년도
교육과정(입학자)","2017~2020학년도
교육과정(입학자)","2021~2024학년도
교육과정(입학자)",비고
286,본부소속,교양학부,2009107,내일을여는행복지도,2023-2,교양학부,3-3-0,S/U,,,교양선택,균형교양,C(외국어예술건강진로),자기계발역량,2016인문사회과학영역,일반교양,소양교양선택,
287,본부소속,교양학부,2008412,인물로만나는지방자치,2024-1,교양학부,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),가치탐구역량,2016문화및예체능영역,핵심교양,균형교양 제5영역,
288,본부소속,교양학부,2008413,"즐기자,조직속의인간관계",2024-1,교양학부,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),공동체역량,2016문화및예체능영역,핵심교양,균형교양 제5영역,
289,본부소속,교양학부,2008414,현대사회와윤리,2024-1,교양학부,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),가치탐구역량,2016인문사회과학영역,핵심교양,균형교양 제6영역,
290,본부소속,교양학부,2008415,구술사와나의역사쓰기,2024-2,교양학부,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),자기계발역량,2016문화및예체능영역,일반교양,소양교양선택,
291,본부소속,교양학부,2008416,인공지능수학,2024-1,교양학부,3-3-0,,,,교양선택,균형교양,B(자연생명과학기술),가치탐구역량,2016자연과학영역,핵심교양,균형교양 제3영역,
292,자원봉사센터,자원봉사센터,2006892,사회봉사이해와실천Ⅰ,2021-1,자원봉사센터,1-0-2,,,,교양선택,균형교양,C(외국어예술건강진로),공동체역량,2016취창업및진로영역,일반교양,소양교양선택,
293,자원봉사센터,자원봉사센터,2006893,사회봉사이해와실천Ⅱ,2021-1,자원봉사센터,1-0-2,,,,교양선택,균형교양,C(외국어예술건강진로),공동체역량,2016취창업및진로영역,일반교양,소양교양선택,
294,자원봉사센터,자원봉사센터,2006894,사회봉사이해와실천Ⅲ,2021-1,자원봉사센터,1-0-2,,,,교양선택,균형교양,C(외국어예술건강진로),공동체역량,2016취창업및진로영역,일반교양,소양교양선택,
295,자원봉사센터,자원봉사센터,2006895,사회봉사이해와실천Ⅳ,2021-1,자원봉사센터,1-0-2,,,,교양선택,균형교양,C(외국어예술건강진로),공동체역량,2016취창업및진로영역,일반교양,소양교양선택,
296,천안공과대학,소프트웨어학과,2009111,컴퓨터개론,2025-1,소프트웨어학과,3-3-0,,,Y,교양선택,기초교양,기초학문(천안공과대학),자기계발역량,2016자연과학영역,학문기초교양,기초교양선택(천안공과대학),
